SKU,f_GHz,lanes,cache_factor,I_FLOPsPerByte,Compute_PF,Roof_PF,Realized_PF,Power_lin_W,Power_sq_W,PerfW_lin_TF/W,PerfW_sq_TF/W
V1-D_DDR,0.5,1,1.0,64,0.48234496,0.028835840000000005,0.028835840000000005,227.5,166.25,0.12675094505494508,0.17344866165413536
V1-D_DDR,0.5,1,1.0,256,0.48234496,0.11534336000000002,0.11534336000000002,227.5,166.25,0.5070037802197803,0.6937946466165414
V1-D_DDR,0.5,1,1.0,512,0.48234496,0.23068672000000004,0.23068672000000004,227.5,166.25,1.0140075604395606,1.3875892932330829
V1-D_DDR,0.5,1,1.0,1024,0.48234496,0.4613734400000001,0.4613734400000001,227.5,166.25,2.0280151208791213,2.7751785864661658
V1-D_DDR,0.5,1,1.0,2048,0.48234496,0.9227468800000002,0.48234496,227.5,166.25,2.1201976263736264,2.901323067669173
V1-D_DDR,0.5,2,1.0,64,0.96468992,0.028835840000000005,0.028835840000000005,227.5,166.25,0.12675094505494508,0.17344866165413536
V1-D_DDR,0.5,2,1.0,256,0.96468992,0.11534336000000002,0.11534336000000002,227.5,166.25,0.5070037802197803,0.6937946466165414
V1-D_DDR,0.5,2,1.0,512,0.96468992,0.23068672000000004,0.23068672000000004,227.5,166.25,1.0140075604395606,1.3875892932330829
V1-D_DDR,0.5,2,1.0,1024,0.96468992,0.4613734400000001,0.4613734400000001,227.5,166.25,2.0280151208791213,2.7751785864661658
V1-D_DDR,0.5,2,1.0,2048,0.96468992,0.9227468800000002,0.9227468800000002,227.5,166.25,4.056030241758243,5.5503571729323316
V1-D_DDR,0.5,1,1.5,64,0.48234496,0.04325376000000001,0.04325376000000001,227.5,166.25,0.1901264175824176,0.26017299248120307
V1-D_DDR,0.5,1,1.5,256,0.48234496,0.17301504000000004,0.17301504000000004,227.5,166.25,0.7605056703296704,1.0406919699248123
V1-D_DDR,0.5,1,1.5,512,0.48234496,0.3460300800000001,0.3460300800000001,227.5,166.25,1.5210113406593408,2.0813839398496246
V1-D_DDR,0.5,1,1.5,1024,0.48234496,0.6920601600000001,0.48234496,227.5,166.25,2.1201976263736264,2.901323067669173
V1-D_DDR,0.5,1,1.5,2048,0.48234496,1.3841203200000003,0.48234496,227.5,166.25,2.1201976263736264,2.901323067669173
V1-D_DDR,0.5,2,1.5,64,0.96468992,0.04325376000000001,0.04325376000000001,227.5,166.25,0.1901264175824176,0.26017299248120307
V1-D_DDR,0.5,2,1.5,256,0.96468992,0.17301504000000004,0.17301504000000004,227.5,166.25,0.7605056703296704,1.0406919699248123
V1-D_DDR,0.5,2,1.5,512,0.96468992,0.3460300800000001,0.3460300800000001,227.5,166.25,1.5210113406593408,2.0813839398496246
V1-D_DDR,0.5,2,1.5,1024,0.96468992,0.6920601600000001,0.6920601600000001,227.5,166.25,3.0420226813186817,4.162767879699249
V1-D_DDR,0.5,2,1.5,2048,0.96468992,1.3841203200000003,0.96468992,227.5,166.25,4.240395252747253,5.802646135338346
V1-D_DDR,0.5,1,2.0,64,0.48234496,0.05767168000000001,0.05767168000000001,227.5,166.25,0.25350189010989016,0.3468973233082707
V1-D_DDR,0.5,1,2.0,256,0.48234496,0.23068672000000004,0.23068672000000004,227.5,166.25,1.0140075604395606,1.3875892932330829
V1-D_DDR,0.5,1,2.0,512,0.48234496,0.4613734400000001,0.4613734400000001,227.5,166.25,2.0280151208791213,2.7751785864661658
V1-D_DDR,0.5,1,2.0,1024,0.48234496,0.9227468800000002,0.48234496,227.5,166.25,2.1201976263736264,2.901323067669173
V1-D_DDR,0.5,1,2.0,2048,0.48234496,1.8454937600000003,0.48234496,227.5,166.25,2.1201976263736264,2.901323067669173
V1-D_DDR,0.5,2,2.0,64,0.96468992,0.05767168000000001,0.05767168000000001,227.5,166.25,0.25350189010989016,0.3468973233082707
V1-D_DDR,0.5,2,2.0,256,0.96468992,0.23068672000000004,0.23068672000000004,227.5,166.25,1.0140075604395606,1.3875892932330829
V1-D_DDR,0.5,2,2.0,512,0.96468992,0.4613734400000001,0.4613734400000001,227.5,166.25,2.0280151208791213,2.7751785864661658
V1-D_DDR,0.5,2,2.0,1024,0.96468992,0.9227468800000002,0.9227468800000002,227.5,166.25,4.056030241758243,5.5503571729323316
V1-D_DDR,0.5,2,2.0,2048,0.96468992,1.8454937600000003,0.96468992,227.5,166.25,4.240395252747253,5.802646135338346
V1-D_DDR,0.5,1,2.5,64,0.48234496,0.07208960000000002,0.07208960000000002,227.5,166.25,0.3168773626373627,0.43362165413533843
V1-D_DDR,0.5,1,2.5,256,0.48234496,0.28835840000000007,0.28835840000000007,227.5,166.25,1.2675094505494509,1.7344866165413537
V1-D_DDR,0.5,1,2.5,512,0.48234496,0.5767168000000001,0.48234496,227.5,166.25,2.1201976263736264,2.901323067669173
V1-D_DDR,0.5,1,2.5,1024,0.48234496,1.1534336000000003,0.48234496,227.5,166.25,2.1201976263736264,2.901323067669173
V1-D_DDR,0.5,1,2.5,2048,0.48234496,2.3068672000000006,0.48234496,227.5,166.25,2.1201976263736264,2.901323067669173
V1-D_DDR,0.5,2,2.5,64,0.96468992,0.07208960000000002,0.07208960000000002,227.5,166.25,0.3168773626373627,0.43362165413533843
V1-D_DDR,0.5,2,2.5,256,0.96468992,0.28835840000000007,0.28835840000000007,227.5,166.25,1.2675094505494509,1.7344866165413537
