SKU,lanes,f_GHz,Compute_PF,I64_roof_PF,I256_roof_PF,I1024_roof_PF,I2048_roof_PF,I64_real_PF,I256_real_PF,I1024_real_PF,I2048_real_PF,Power_lin_W,Power_sq_W,PerfW_I256_lin_TFperW,PerfW_I256_sq_TFperW
V1-H_HBM,1,0.3,0.56623104,0.272,1.088,4.352,8.704,0.272,0.56623104,0.56623104,0.56623104,343.6363636363636,246.44628099173553,1.6477622857142857,2.297584032193159
V1-H_HBM,2,0.3,1.13246208,0.272,1.088,4.352,8.704,0.272,1.088,1.13246208,1.13246208,343.6363636363636,246.44628099173553,3.166137566137566,4.41475519785379
V1-H_HBM,1,0.35,0.66060288,0.272,1.088,4.352,8.704,0.272,0.66060288,0.66060288,0.66060288,365.9090909090909,259.60743801652893,1.805374330434783,2.5446223153203342
V1-H_HBM,2,0.35,1.32120576,0.272,1.088,4.352,8.704,0.272,1.088,1.32120576,1.32120576,365.9090909090909,259.60743801652893,2.9734161490683233,4.190943095901313
V1-H_HBM,1,0.4,0.7549747200000001,0.272,1.088,4.352,8.704,0.272,0.7549747200000001,0.7549747200000001,0.7549747200000001,388.18181818181813,274.79338842975204,1.9448997470726,2.747426800601504
V1-H_HBM,2,0.4,1.5099494400000002,0.272,1.088,4.352,8.704,0.272,1.088,1.5099494400000002,1.5099494400000002,388.18181818181813,274.79338842975204,2.802810304449649,3.959338345864662
V1-H_HBM,1,0.45,0.84934656,0.272,1.088,4.352,8.704,0.272,0.84934656,0.84934656,0.84934656,410.4545454545454,292.0041322314049,2.069282870431894,2.908679933772023
V1-H_HBM,2,0.45,1.69869312,0.272,1.088,4.352,8.704,0.272,1.088,1.69869312,1.69869312,410.4545454545454,292.0041322314049,2.6507198228128463,3.725974669213897
V1-H_HBM,1,0.5,0.9437184000000001,0.272,1.088,4.352,8.704,0.272,0.9437184000000001,0.9437184000000001,0.9437184000000001,432.7272727272727,311.2396694214876,2.180861848739496,3.032127626128519
V1-H_HBM,2,0.5,1.8874368000000001,0.272,1.088,4.352,8.704,0.272,1.088,1.8874368000000001,1.8874368000000001,432.7272727272727,311.2396694214876,2.5142857142857147,3.495698353690919
V1-H_HBM,1,0.55,1.03809024,0.272,1.088,4.352,8.704,0.272,1.03809024,1.03809024,1.03809024,455.0,332.5,2.281517010989011,3.122075909774436
V1-H_HBM,2,0.55,2.07618048,0.272,1.088,4.352,8.704,0.272,1.088,2.07618048,2.07618048,455.0,332.5,2.391208791208791,3.2721804511278196
V1-H_HBM,1,0.6,1.13246208,0.272,1.088,4.352,8.704,0.272,1.088,1.13246208,1.13246208,477.2727272727272,355.78512396694214,2.279619047619048,3.0580255516840884
V1-H_HBM,2,0.6,2.26492416,0.272,1.088,4.352,8.704,0.272,1.088,2.26492416,2.26492416,477.2727272727272,355.78512396694214,2.279619047619048,3.0580255516840884
V1-H_HBM,1,0.65,1.22683392,0.272,1.088,4.352,8.704,0.272,1.088,1.22683392,1.22683392,499.54545454545445,381.095041322314,2.1779799818016383,2.8549308755760374
V1-H_HBM,2,0.65,2.45366784,0.272,1.088,4.352,8.704,0.272,1.088,2.45366784,2.45366784,499.54545454545445,381.095041322314,2.1779799818016383,2.8549308755760374
V1-H_HBM,1,0.7,1.32120576,0.272,1.088,4.352,8.704,0.272,1.088,1.32120576,1.32120576,521.8181818181818,408.4297520661156,2.085017421602788,2.6638607851072447
V1-H_HBM,2,0.7,2.64241152,0.272,1.088,4.352,8.704,0.272,1.088,2.64241152,2.64241152,521.8181818181818,408.4297520661156,2.085017421602788,2.6638607851072447
V1-H_HBM,1,0.75,1.4155776,0.272,1.088,4.352,8.704,0.272,1.088,1.4155776,1.4155776,544.090909090909,437.78925619834706,1.9996658312447788,2.4852140261456417
V1-H_HBM,2,0.75,2.8311552,0.272,1.088,4.352,8.704,0.272,1.088,2.8311552,2.8311552,544.090909090909,437.78925619834706,1.9996658312447788,2.4852140261456417
V1-H_HBM,1,0.8,1.5099494400000002,0.272,1.088,4.352,8.704,0.272,1.088,1.5099494400000002,1.5099494400000002,566.3636363636363,469.1735537190082,1.9210272873194225,2.318971287651929
V1-H_HBM,2,0.8,3.0198988800000004,0.272,1.088,4.352,8.704,0.272,1.088,3.0198988800000004,3.0198988800000004,566.3636363636363,469.1735537190082,1.9210272873194225,2.318971287651929
V1-H_HBM,1,0.85,1.60432128,0.272,1.088,4.352,8.704,0.272,1.088,1.60432128,1.60432128,588.6363636363635,502.58264462809905,1.8483397683397687,2.164818088386434
V1-H_HBM,2,0.85,3.20864256,0.272,1.088,4.352,8.704,0.272,1.088,3.20864256,3.20864256,588.6363636363635,502.58264462809905,1.8483397683397687,2.164818088386434
V1-H_HBM,1,0.9,1.69869312,0.272,1.088,4.352,8.704,0.272,1.088,1.69869312,1.69869312,610.9090909090908,538.0165289256197,1.7809523809523813,2.022242703533027
