SKU,lanes,f_GHz,Compute_PF,I64_roof_PF,I256_roof_PF,I1024_roof_PF,I2048_roof_PF,I64_real_PF,I256_real_PF,I1024_real_PF,I2048_real_PF,Power_lin_W,Power_sq_W,PerfW_I256_lin_TFperW,PerfW_I256_sq_TFperW
V1-H_HBM,1,0.3,566.23104,0.272,1.088,4.352,8.704,0.272,1.088,4.352,8.704,343.6363636363636,246.44628099173553,3.166137566137566,4.41475519785379
V1-H_HBM,2,0.3,1132.46208,0.272,1.088,4.352,8.704,0.272,1.088,4.352,8.704,343.6363636363636,246.44628099173553,3.166137566137566,4.41475519785379
V1-H_HBM,1,0.35,660.60288,0.272,1.088,4.352,8.704,0.272,1.088,4.352,8.704,365.9090909090909,259.60743801652893,2.9734161490683233,4.190943095901313
V1-H_HBM,2,0.35,1321.20576,0.272,1.088,4.352,8.704,0.272,1.088,4.352,8.704,365.9090909090909,259.60743801652893,2.9734161490683233,4.190943095901313
V1-H_HBM,1,0.4,754.97472,0.272,1.088,4.352,8.704,0.272,1.088,4.352,8.704,388.18181818181813,274.79338842975204,2.802810304449649,3.959338345864662
V1-H_HBM,2,0.4,1509.94944,0.272,1.088,4.352,8.704,0.272,1.088,4.352,8.704,388.18181818181813,274.79338842975204,2.802810304449649,3.959338345864662
V1-H_HBM,1,0.45,849.3465600000001,0.272,1.088,4.352,8.704,0.272,1.088,4.352,8.704,410.4545454545454,292.0041322314049,2.6507198228128463,3.725974669213897
V1-H_HBM,2,0.45,1698.6931200000001,0.272,1.088,4.352,8.704,0.272,1.088,4.352,8.704,410.4545454545454,292.0041322314049,2.6507198228128463,3.725974669213897
V1-H_HBM,1,0.5,943.7184,0.272,1.088,4.352,8.704,0.272,1.088,4.352,8.704,432.7272727272727,311.2396694214876,2.5142857142857147,3.495698353690919
V1-H_HBM,2,0.5,1887.4368,0.272,1.088,4.352,8.704,0.272,1.088,4.352,8.704,432.7272727272727,311.2396694214876,2.5142857142857147,3.495698353690919
V1-H_HBM,1,0.55,1038.09024,0.272,1.088,4.352,8.704,0.272,1.088,4.352,8.704,455.0,332.5,2.391208791208791,3.2721804511278196
V1-H_HBM,2,0.55,2076.18048,0.272,1.088,4.352,8.704,0.272,1.088,4.352,8.704,455.0,332.5,2.391208791208791,3.2721804511278196
