Node,Die_Area_mm2,Wafer_Cost_USD,Wafer_Cost_Range_USD,Gross_Dies_per_Wafer,Assumed_Yield,Good_Dies,Silicon_Cost_per_Die_USD,Notes
7nm,350,9346,9000–10000,166.3,0.7,116.4,80.27,Edit yield & costs; excludes packaging/test/HBM.
7nm,500,9346,9000–10000,111.6,0.7,78.1,119.67,Edit yield & costs; excludes packaging/test/HBM.
7nm,650,9346,9000–10000,82.6,0.7,57.8,161.62,Edit yield & costs; excludes packaging/test/HBM.
5nm,350,16988,16000–17000,166.3,0.65,108.1,157.12,Edit yield & costs; excludes packaging/test/HBM.
5nm,500,16988,16000–17000,111.6,0.65,72.5,234.26,Edit yield & costs; excludes packaging/test/HBM.
5nm,650,16988,16000–17000,82.6,0.65,53.7,316.38,Edit yield & costs; excludes packaging/test/HBM.
4nm,350,18500,18000–20000,166.3,0.6,99.8,185.37,Edit yield & costs; excludes packaging/test/HBM.
4nm,500,18500,18000–20000,111.6,0.6,66.9,276.36,Edit yield & costs; excludes packaging/test/HBM.
4nm,650,18500,18000–20000,82.6,0.6,49.6,373.25,Edit yield & costs; excludes packaging/test/HBM.
3nm,350,20000,18000–25000,166.3,0.55,91.5,218.61,Edit yield & costs; excludes packaging/test/HBM.
3nm,500,20000,18000–25000,111.6,0.55,61.4,325.93,Edit yield & costs; excludes packaging/test/HBM.
3nm,650,20000,18000–25000,82.6,0.55,45.4,440.2,Edit yield & costs; excludes packaging/test/HBM.
2nm,350,30000,30000–35000,166.3,0.45,74.9,400.79,Edit yield & costs; excludes packaging/test/HBM.
2nm,500,30000,30000–35000,111.6,0.45,50.2,597.54,Edit yield & costs; excludes packaging/test/HBM.
2nm,650,30000,30000–35000,82.6,0.45,37.2,807.03,Edit yield & costs; excludes packaging/test/HBM.
